BOCC Report,Duplicate / Different Acc/ WSH / Near Miss / Need Not Report,Time of Accident,Date of Accident,Service No,Employee No,Date approved,"[Auto]
Overall Case status",LTA Ref No,"[Auto]
Lead Time Submitted Cases","[Auto] 
CCTV Lead Time - Received","[Auto]
CCTV Lead Time - Pending","[Auto]
Today's Date",Date approved.1
448099,Duplicate,19:28:00,20-May-2024 (Mon),172,22690,,,,,,,,
448108,,20:35:00,20-May-2024 (Mon),970,11366,,,,,,,,
448533,,17:44:00,10-May-2024 (Fri),972,72045,,,,,,,,
448562,,14:52:00,24-May-2024 (Fri),900,34735,,,,,,,,
448576,,18:50:00,24-May-2024 (Fri),61,20707,,,,,,,,
448668,,14:35:00,25-May-2024 (Sat),975,34639,,,,,,,,
448703,Duplicate,22:54:00,25-May-2024 (Sat),972M,34482,,,,,,,,
448711,,05:48:00,26-May-2024 (Sun),300,17907,,,,,,,,
448806,CAT 1,06:41:00,27-May-2024 (Mon),61,23541,,,,,,,,
448818,,07:16:00,27-May-2024 (Mon),67,67323,,,,,,,,
448910,,21:34:00,27-May-2024 (Mon),912B,16539,,,,,,,,
448939,,06:52:00,28-May-2024 (Tue),991,31749,,,,,,,,
448987,,17:05:00,24-May-2024 (Fri),972M,74277,,,,,,,,
449122,,15:51:00,29-May-2024 (Wed),991,26371,,,,,,,,
